FirstName,LastName,DisplayName,Title,Division,Level,ManagerName,ManagerSamAccountName,SamAccountName,UserPrincipalName,Email,OUPath,InitialPassword,SecurityGroups
David,Sharma,David Sharma,President & Principal Broker,Head Office,1 - Executive,,,dsharma,dsharma@djgroup.com,dsharma@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-Executives;SG-Brokerage-Agents;SG-VPN-Access
Maria,Gonzales,Maria Gonzales,Brokerage Sales Manager,Head Office,2 - Director,David Sharma,dsharma,mgonzales,mgonzales@djgroup.com,mgonzales@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-Brokerage-Agents;SG-VPN-Access
James,Wong,James Wong,Senior Real Estate Agent (Team Lead),Head Office,3 - Team Lead,Maria Gonzales,mgonzales,jwong,jwong@djgroup.com,jwong@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-Brokerage-Agents
Priya,Patel,Priya Patel,Corporate Services Lead,Head Office,3 - Team Lead,Maria Gonzales,mgonzales,ppatel,ppatel@djgroup.com,ppatel@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-Finance-ReadWrite;SG-HR-ReadWrite;SG-VPN-Access
John,Smith,John Smith,Real Estate Agent,Head Office,4 - Staff,James Wong,jwong,jsmith,jsmith@djgroup.com,jsmith@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-Brokerage-Agents
Jane,Smith,Jane Smith,Real Estate Agent,Head Office,4 - Staff,James Wong,jwong,jsmith2,jsmith2@djgroup.com,jsmith2@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-Brokerage-Agents
Robert,Chen,Robert Chen,Accountant,Head Office,4 - Staff,Priya Patel,ppatel,rchen,rchen@djgroup.com,rchen@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-Finance-ReadWrite
Amanda,Klein,Amanda Klein,HR Generalist,Head Office,4 - Staff,Priya Patel,ppatel,aklein,aklein@djgroup.com,aklein@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-HR-ReadWrite
Kevin,Osei,Kevin Osei,IT Support Specialist,Head Office,4 - Staff,Priya Patel,ppatel,kosei,kosei@djgroup.com,kosei@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-IT-Admins;SG-VPN-Access
Laura,Bennett,Laura Bennett,Marketing Coordinator,Head Office,4 - Staff,Priya Patel,ppatel,lbennett,lbennett@djgroup.com,lbennett@djgroup.com,"OU=Users,OU=DJGC-HeadOffice,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-HeadOffice-Users;SG-Printers-HeadOffice
Michael,Torres,Michael Torres,Construction Director,Construction,2 - Director,David Sharma,dsharma,mtorres,mtorres@djgroup.com,mtorres@djgroup.com,"OU=Users,OU=DJGC-Construction,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-Construction-Users;SG-Construction-SiteApps;SG-VPN-Access
Steven,Park,Steven Park,Project Manager (Team Lead),Construction,3 - Team Lead,Michael Torres,mtorres,spark,spark@djgroup.com,spark@djgroup.com,"OU=Users,OU=DJGC-Construction,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-Construction-Users;SG-Construction-SiteApps
Carlos,Mendez,Carlos Mendez,Site Supervisor (Team Lead),Construction,3 - Team Lead,Michael Torres,mtorres,cmendez,cmendez@djgroup.com,cmendez@djgroup.com,"OU=Users,OU=DJGC-Construction,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-Construction-Users;SG-Construction-SiteApps
Ahmed,Hussain,Ahmed Hussain,Site Coordinator,Construction,4 - Staff,Carlos Mendez,cmendez,ahussain,ahussain@djgroup.com,ahussain@djgroup.com,"OU=Users,OU=DJGC-Construction,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-Construction-Users;SG-Construction-SiteApps
Brian,Fischer,Brian Fischer,Site Coordinator,Construction,4 - Staff,Carlos Mendez,cmendez,bfischer,bfischer@djgroup.com,bfischer@djgroup.com,"OU=Users,OU=DJGC-Construction,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-Construction-Users;SG-Construction-SiteApps
Nicole,Adams,Nicole Adams,Estimator,Construction,4 - Staff,Steven Park,spark,nadams,nadams@djgroup.com,nadams@djgroup.com,"OU=Users,OU=DJGC-Construction,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-Construction-Users;SG-Construction-SiteApps
Sandra,Lee,Sandra Lee,Building Materials Manager,Building Materials,2 - Director,David Sharma,dsharma,slee,slee@djgroup.com,slee@djgroup.com,"OU=Users,OU=DJGC-BuildingMaterials,DC=corp,DC=djgroup,DC=com","<REDACTED - generated per onboarding policy, not stored in plaintext>",SG-AllStaff;SG-BuildingMaterials-Users;SG-Materials-Inventory;SG-VPN-Access
